TestInput,FileName,Variables,Degree,Runtime (s),Result
1,theater,1var,2deg,0.004118919372558594,[['UNSAT']]
2,cat,1var,2deg,0.0044097900390625,[['UNSAT']]
3,dog,1var,2deg,0.007636308670043945,"[['x', -3]]"
4,house,1var,2deg,0.003629446029663086,[['UNSAT']]
5,elephant,1var,2deg,0.003974437713623047,"[['x', 6]]"
6,squirrel,1var,2deg,0.0033485889434814453,[['UNSAT']]
7,rabbit,1var,2deg,0.0037631988525390625,"[['x', -1]]"
8,plate,1var,3deg,0.016077518463134766,[['UNSAT']]
9,clown,1var,3deg,0.0033006668090820312,[['UNSAT']]
10,nostalgia,1var,3deg,0.003538846969604492,"[['x', 9]]"
11,heart,1var,3deg,0.003931999206542969,"[['x', 7]]"
12,home,1var,3deg,0.0037603378295898438,"[['x', 1]]"
13,rose,1var,3deg,0.012125730514526367,[['UNSAT']]
14,truck,2var,2deg,0.007877349853515625,"[['x', -4], ['y', 6]]"
15,unusual,2var,2deg,0.0018963813781738281,[['UNSAT']]
16,faint,2var,2deg,0.0046541690826416016,[['UNSAT']]
17,small,2var,2deg,0.0034089088439941406,"[['x', 1], ['y', -4]]"
18,waste,2var,3deg,0.0018153190612792969,[['UNSAT']]
19,touch,2var,3deg,10.090556859970093,[['UNKNOWN (TIMEOUT)']]
20,inertia,2var,3deg,10.04084587097168,[['UNKNOWN (TIMEOUT)']]
21,email,2var,3deg,0.0032999515533447266,"[['x', 0], ['y', 0]]"
22,oblong,2var,3deg,0.0023424625396728516,"[['x', 0], ['y', 0]]"
23,forget,2var,3deg,10.121109962463379,[['UNKNOWN (TIMEOUT)']]
24,beast,3var,2deg,0.0037131309509277344,"[['z', 0], ['x', 3], ['y', -6]]"
25,vampire,3var,2deg,0.003263711929321289,"[['z', -6], ['x', 0], ['y', 0]]"
26,robot,3var,3deg,0.003244638442993164,"[['z', 0], ['x', 4], ['y', -5]]"
27,titanium,3var,3deg,10.942079782485962,[['UNKNOWN (TIMEOUT)']]
28,bar,3var,3deg,10.046082019805908,[['UNKNOWN (TIMEOUT)']]
29,tank,3var,3deg,0.003992795944213867,"[['z', 0], ['x', -7], ['y', 9]]"
30,western,3var,3deg,10.053818941116333,[['UNKNOWN (TIMEOUT)']]
Totals: 30,n/a,61.407618045806885s,"14 SAT, 10 UNSAT, 6 UNKNOWN"
