FileName,Variables,Degree,SAT,CRT-INT Runtime,CRT-BV Runtime,Z3 Runtime,cvc5 Runtime
cat,1,2,?,T/O,T/O,T/O,T/O
dog,1,2,SAT,T/O,0.0126106739044189,T/O,T/O
elephant,1,2,SAT,0.0039117336273193,0.0046277046203613,T/O,T/O
house,1,2,UNSAT,T/O,0.0035097599029541,T/O,T/O
rabbit,1,2,SAT,T/O,0.0050611495971679,T/O,T/O
squirrel,1,2,?,T/O,T/O,T/O,T/O
theater,1,2,?,T/O,T/O,T/O,T/O
clown,1,3,?,T/O,T/O,T/O,T/O
heart,1,3,SAT,0.0042271614074707,T/O,T/O,0.002192735671997
home,1,3,SAT,T/O,0.0036592483520507,0.0026402473449707,T/O
nostalgia,1,3,SAT,T/O,0.0037829875946044,T/O,T/O
plate,1,3,?,T/O,T/O,T/O,T/O
rose,1,3,?,T/O,T/O,T/O,T/O
faint,2,2,?,T/O,T/O,T/O,T/O
small,2,2,?,T/O,T/O,T/O,T/O
truck,2,2,SAT,T/O,0.0077114105224609,T/O,T/O
unusual,2,2,UNSAT,T/O,T/O,0.0013799667358398,T/O
email,2,3,SAT,0.0053341388702392,0.0038268566131591,0.0020434856414794,0.0019924640655517
forget,2,3,?,T/O,T/O,T/O,T/O
inertia,2,3,?,T/O,T/O,T/O,T/O
oblong,2,3,SAT,0.0046117305755615,0.0076143741607666,0.0013177394866943,0.0031392574310302
touch,2,3,?,T/O,T/O,T/O,T/O
waste,2,3,UNSAT,0.0024089813232421,0.0023314952850341,0.0017964839935302,0.0012042522430419
beast,3,2,SAT,T/O,T/O,0.0011045932769775,T/O
vampire,3,2,SAT,0.0234267711639404,0.0202667713165283,0.0012447834014892,T/O
bar,3,3,?,T/O,T/O,T/O,T/O
robot,3,3,SAT,T/O,0.0331747531890869,0.0013082027435302,T/O
tank,3,3,SAT,T/O,0.0083358287811279,0.0010907649993896,T/O
titanium,3,3,?,T/O,T/O,T/O,T/O
western,3,3,?,T/O,T/O,T/O,T/O
