FileName,Variables,Degree,SAT,CRT-INT Runtime,CRT-BV Runtime,Z3 Runtime,cvc5 Runtime
cat,1,2,UNSAT,T/O,0.3158915042877197,0.0212399959564209,0.0824992656707763
dog,1,2,SAT,0.0915958881378173,0.1926624774932861,0.0077910423278808,0.0239574909210205
elephant,1,2,SAT,0.0846924781799316,0.1756002902984619,0.0028402805328369,0.1841707229614257
house,1,2,UNSAT,T/O,0.0949482917785644,0.003511905670166,0.0284523963928222
rabbit,1,2,SAT,0.093782901763916,0.1647636890411377,0.0023016929626464,0.0064995288848876
squirrel,1,2,UNSAT,T/O,0.3144674301147461,0.0020146369934082,0.0083999633789062
theater,1,2,UNSAT,T/O,0.6305398941040039,0.0111095905303955,0.0564866065979003
clown,1,3,UNSAT,T/O,1.0795302391052246,0.0029044151306152,T/O
heart,1,3,SAT,0.0795214176177978,0.2484080791473388,0.0037522315979003,0.0075888633728027
home,1,3,SAT,0.0992467403411865,0.1361677646636963,0.0028090476989746,0.0077629089355468
nostalgia,1,3,SAT,0.1362040042877197,0.168766975402832,0.0031595230102539,0.1946446895599365
plate,1,3,UNSAT,T/O,0.332988977432251,0.0104706287384033,T/O
rose,1,3,UNSAT,T/O,0.2068979740142822,0.0108020305633544,T/O
faint,2,2,UNSAT,T/O,I/O (5.165175437927246),0.0054967403411865,0.2890133857727051
small,2,2,SAT,0.2170600891113281,0.7159554958343506,0.0028245449066162,0.0778605937957763
truck,2,2,SAT,0.1653230190277099,0.362398624420166,0.0068578720092773,1.1806397438049316
unusual,2,2,UNSAT,T/O,I/O (4.970245599746704),0.0027439594268798,0.425316572189331
email,2,3,SAT,0.0848402976989746,0.1608633995056152,0.0031676292419433,0.1669850349426269
forget,2,3,?,T/O,I/O (4.370598077774048),T/O,T/O
inertia,2,3,?,T/O,I/O (4.715489387512207),T/O,T/O
oblong,2,3,SAT,0.081866979598999,0.5068473815917969,0.0018534660339355,0.0060932636260986
touch,2,3,UNSAT,T/O,I/O (5.331569194793701),T/O,0.1981422901153564
waste,2,3,UNSAT,0.0508508682250976,0.0873689651489257,0.0014045238494873,0.0094392299652099
beast,3,2,SAT,0.8174538612365723,1.7581276893615725,0.0038633346557617,0.3287844657897949
vampire,3,2,SAT,1.086724042892456,1.653880596160889,0.0020563602447509,0.008876085281372
bar,3,3,?,T/O,T/O,T/O,T/O
robot,3,3,SAT,1.924224853515625,2.549478769302368,0.0016701221466064,0.0089819431304931
tank,3,3,SAT,0.2265949249267578,0.4262375831604004,0.0024325847625732,0.8234190940856934
titanium,3,3,?,T/O,T/O,T/O,T/O
western,3,3,?,T/O,T/O,T/O,T/O
ghost,4,4,SAT,0.0986876487731933,T/O,0.0033836364746093,0.9584221839904784
world,4,4,UNSAT,T/O,T/O,0.0699706077575683,1.5155479907989502
horror,4,5,?,T/O,T/O,T/O,T/O
terror,4,5,?,T/O,T/O,T/O,T/O
designer,4,6,?,T/O,T/O,T/O,T/O
twisted,4,6,?,T/O,T/O,T/O,T/O
sunset,5,4,SAT,T/O,T/O,0.0031321048736572,T/O
twilight,5,4,SAT,T/O,T/O,0.0087931156158447,T/O
banana,5,5,SAT,T/O,9.096595764160156,0.0025405883789062,T/O
orange,5,5,?,T/O,T/O,T/O,T/O
forceful,5,6,?,T/O,T/O,T/O,T/O
trivial,5,6,?,T/O,T/O,T/O,T/O
blueberry,6,4,SAT,T/O,T/O,0.7717194557189941,T/O
strawberry,6,4,UNSAT,T/O,T/O,T/O,1.709993600845337
happy,6,5,SAT,2.193255662918091,3.1319899559021,0.0047194957733154,T/O
peace,6,5,?,T/O,T/O,T/O,T/O
sad,6,5,?,T/O,T/O,T/O,T/O
cold,6,6,?,T/O,T/O,T/O,T/O
crazy,6,6,?,T/O,T/O,T/O,T/O
hot,6,6,?,T/O,T/O,T/O,T/O
