TestInput,FileName,Variables,Degree,Runtime (s),Result
1,theater,1var,2deg,0.014542818069458008,[['UNSAT']]
2,cat,1var,2deg,0.011753559112548828,[['UNSAT']]
3,dog,1var,2deg,0.0038542747497558594,"[['x', -3]]"
4,house,1var,2deg,0.001298666000366211,[['UNSAT']]
5,elephant,1var,2deg,0.002229928970336914,"[['x', 2]]"
6,squirrel,1var,2deg,0.009332895278930664,[['UNSAT']]
7,rabbit,1var,2deg,0.0032165050506591797,"[['x', -1]]"
8,plate,1var,3deg,0.01292872428894043,[['UNSAT']]
9,clown,1var,3deg,0.11499428749084473,[['UNSAT']]
10,nostalgia,1var,3deg,0.016200542449951172,"[['x', -1]]"
11,heart,1var,3deg,0.007272005081176758,"[['x', -2]]"
12,home,1var,3deg,0.0033681392669677734,"[['x', 1]]"
13,rose,1var,3deg,0.0063321590423583984,[['UNSAT']]
14,truck,2var,2deg,0.008285999298095703,"[['x', 3], ['y', -3]]"
15,unusual,2var,2deg,0.3913593292236328,[['UNKNOWN (ERROR)']]
16,faint,2var,2deg,0.4462285041809082,[['UNKNOWN (ERROR)']]
17,small,2var,2deg,0.03977560997009277,"[['x', 1], ['y', -2]]"
18,waste,2var,3deg,0.0033702850341796875,[['UNSAT']]
19,touch,2var,3deg,0.2898571491241455,[['UNKNOWN (ERROR)']]
20,inertia,2var,3deg,0.30381202697753906,[['UNKNOWN (ERROR)']]
21,email,2var,3deg,0.02278304100036621,"[['x', 1], ['y', -2]]"
22,oblong,2var,3deg,0.010638952255249023,"[['x', -3], ['y', -3]]"
23,forget,2var,3deg,0.23276019096374512,[['UNKNOWN (ERROR)']]
24,beast,3var,2deg,0.0468144416809082,"[['x', 2], ['y', -4], ['z', 5]]"
25,vampire,3var,2deg,0.026920795440673828,"[['x', 2], ['y', -4], ['z', 2]]"
26,robot,3var,3deg,0.053975820541381836,"[['x', 4], ['y', -4], ['z', 1]]"
27,titanium,3var,3deg,0.9241690635681152,[['UNKNOWN (ERROR)']]
28,bar,3var,3deg,1.1932704448699951,[['UNKNOWN (ERROR)']]
29,tank,3var,3deg,0.04845619201660156,"[['x', 0], ['y', 2], ['z', 0]]"
30,western,3var,3deg,0.9605088233947754,[['UNKNOWN (ERROR)']]
Totals: 30,n/a,5.2103111743927s,"14 SAT, 8 UNSAT, 8 UNKNOWN"
