FileName,Variables,Degree,SAT,CRT-INT Runtime,CRT-BV Runtime,Z3 Runtime,cvc5 Runtime
cat,1,2,UNSAT,T/O,0.0365345478057861,0.0029442310333251,0.0096580982208251
dog,1,2,SAT,0.1205077171325683,0.0142903327941894,0.0030996799468994,0.0042335987091064
elephant,1,2,SAT,0.3027939796447754,0.0066430568695068,0.002446174621582,0.0029571056365966
house,1,2,UNSAT,T/O,0.0048401355743408,0.0020172595977783,0.0055594444274902
rabbit,1,2,SAT,0.2066640853881836,0.0150046348571777,0.0023970603942871,0.002685546875
squirrel,1,2,UNSAT,T/O,0.0203142166137695,0.0020227432250976,0.0032005310058593
theater,1,2,UNSAT,T/O,0.0326967239379882,0.0041778087615966,0.002824068069458
clown,1,3,UNSAT,T/O,0.2090499401092529,0.0024354457855224,T/O
heart,1,3,SAT,0.0040063858032226,0.0132641792297363,0.0030667781829833,0.0025882720947265
home,1,3,SAT,0.005345344543457,0.0070736408233642,0.0027511119842529,0.0022060871124267
nostalgia,1,3,SAT,0.3259131908416748,0.0894749164581298,0.0031616687774658,0.1404061317443847
plate,1,3,UNSAT,T/O,0.0258498191833496,0.0115954875946044,T/O
rose,1,3,UNSAT,T/O,0.0100455284118652,0.0021462440490722,T/O
faint,2,2,UNSAT,T/O,I/O (0.6374475955963135),0.0042512416839599,0.1035337448120117
small,2,2,SAT,0.2278869152069091,0.1256124973297119,0.0031986236572265,0.0303065776824951
truck,2,2,SAT,0.1721720695495605,0.0133478641510009,0.0032074451446533,1.0159640312194824
unusual,2,2,UNSAT,T/O,I/O (0.5516824722290039),0.0027978420257568,0.1692826747894287
email,2,3,SAT,0.1783704757690429,0.0774416923522949,0.0063698291778564,0.1513280868530273
forget,2,3,UNSAT,T/O,I/O (0.2345345020294189),T/O,T/O
inertia,2,3,UNSAT,T/O,I/O (0.4059841632843017),T/O,T/O
oblong,2,3,SAT,0.0035765171051025,0.0093946456909179,0.0098903179168701,0.0019614696502685
touch,2,3,UNSAT,T/O,I/O (0.3512265682220459),T/O,0.0771915912628173
waste,2,3,UNSAT,0.0026133060455322,0.0062074661254882,0.0016357898712158,0.003885269165039
beast,3,2,SAT,0.1831035614013672,0.1122286319732666,0.0051710605621337,0.1835343837738037
vampire,3,2,SAT,0.0161085128784179,0.0241832733154296,0.0042848587036132,0.0043706893920898
bar,3,3,UNSAT,T/O,I/O (1.2051076889038086),T/O,T/O
robot,3,3,SAT,0.0255169868469238,0.0357687473297119,0.0049073696136474,0.0031516551971435
tank,3,3,SAT,0.1309061050415039,0.1637637615203857,0.0035285949707031,0.8885533809661865
titanium,3,3,UNSAT,T/O,I/O (0.9140224456787108),T/O,T/O
western,3,3,UNSAT,T/O,I/O (1.147197723388672),T/O,T/O
