TestInput,FileName,Variables,Degree,Runtime (s),Result
1,theater,1var,2deg,0.06452822685241699,[['UNSAT']]
2,cat,1var,2deg,0.006077289581298828,[['UNSAT']]
3,dog,1var,2deg,0.00757288932800293,"[['x', -3]]"
4,house,1var,2deg,0.001682281494140625,[['UNSAT']]
5,elephant,1var,2deg,0.002306222915649414,"[['x', 6]]"
6,squirrel,1var,2deg,0.00335693359375,[['UNSAT']]
7,rabbit,1var,2deg,0.002957582473754883,"[['x', -1]]"
8,plate,1var,3deg,0.013449430465698242,[['UNSAT']]
9,clown,1var,3deg,0.0023131370544433594,[['UNSAT']]
10,nostalgia,1var,3deg,0.001922607421875,"[['x', 9]]"
11,heart,1var,3deg,0.0017256736755371094,"[['x', 7]]"
12,home,1var,3deg,0.0023450851440429688,"[['x', 1]]"
13,rose,1var,3deg,0.0017638206481933594,[['UNSAT']]
14,truck,2var,2deg,0.006748199462890625,"[['x', -4], ['y', 6]]"
15,unusual,2var,2deg,0.002221822738647461,[['UNSAT']]
16,faint,2var,2deg,0.0029439926147460938,[['UNSAT']]
17,small,2var,2deg,0.0019919872283935547,"[['x', 1], ['y', -4]]"
18,waste,2var,3deg,0.001356363296508789,[['UNSAT']]
19,touch,2var,3deg,0.10365033149719238,[['UNKNOWN (TIMEOUT)']]
20,inertia,2var,3deg,0.10168910026550293,[['UNKNOWN (TIMEOUT)']]
21,email,2var,3deg,0.001795053482055664,"[['x', 0], ['y', 0]]"
22,oblong,2var,3deg,0.0016376972198486328,"[['x', 0], ['y', 0]]"
23,forget,2var,3deg,0.10191535949707031,[['UNKNOWN (TIMEOUT)']]
24,beast,3var,2deg,0.0017209053039550781,"[['z', 0], ['x', 3], ['y', -6]]"
25,vampire,3var,2deg,0.0014688968658447266,"[['z', -6], ['x', 0], ['y', 0]]"
26,robot,3var,3deg,0.0015363693237304688,"[['z', 0], ['x', 4], ['y', -5]]"
27,titanium,3var,3deg,0.1017765998840332,[['UNKNOWN (TIMEOUT)']]
28,bar,3var,3deg,0.10171008110046387,[['UNKNOWN (TIMEOUT)']]
29,tank,3var,3deg,0.0014150142669677734,"[['z', 0], ['x', -7], ['y', 9]]"
30,western,3var,3deg,0.10246777534484863,[['UNKNOWN (TIMEOUT)']]
Totals: 30,n/a,0.7500467300415039s,"14 SAT, 10 UNSAT, 6 UNKNOWN"
