FileName,Variables,Degree,SAT,CRT-INT Runtime,CRT-BV Runtime,Z3 Runtime,cvc5 Runtime
cat,1,2,UNSAT,T/O,0.0316743850708007,0.0044097900390625,0.0084342956542968
dog,1,2,SAT,0.2200486660003662,0.0125250816345214,0.0076363086700439,0.0048460960388183
elephant,1,2,SAT,0.4124124050140381,0.0050234794616699,0.003974437713623,0.0022640228271484
house,1,2,UNSAT,T/O,0.0057682991027832,0.003629446029663,0.0052015781402587
rabbit,1,2,SAT,0.3096153736114502,0.0069808959960937,0.003763198852539,0.0026071071624755
squirrel,1,2,UNSAT,T/O,0.0179996490478515,0.0033485889434814,0.0041084289550781
theater,1,2,UNSAT,T/O,0.0455520153045654,0.0041189193725585,0.0023181438446044
clown,1,3,UNSAT,T/O,0.1741330623626709,0.003300666809082,T/O
heart,1,3,SAT,0.0084078311920166,0.021726369857788,0.0039319992065429,0.0069992542266845
home,1,3,SAT,0.0084266662597656,0.0048916339874267,0.0037603378295898,0.0077764987945556
nostalgia,1,3,SAT,0.4287121295928955,0.0268740653991699,0.0035388469696044,0.2752246856689453
plate,1,3,UNSAT,T/O,0.0179517269134521,0.0160775184631347,T/O
rose,1,3,UNSAT,T/O,0.0070033073425292,0.0121257305145263,T/O
faint,2,2,UNSAT,T/O,I/O (0.7096140384674072),0.0046541690826416,0.1891448497772216
small,2,2,SAT,0.3340742588043213,0.053835391998291,0.0034089088439941,0.0587437152862548
truck,2,2,SAT,0.2051796913146972,0.0097107887268066,0.0078773498535156,1.612293004989624
unusual,2,2,UNSAT,T/O,I/O (0.5685379505157471),0.0018963813781738,0.3018026351928711
email,2,3,SAT,0.2804539203643799,0.030919075012207,0.0032999515533447,0.2120335102081298
forget,2,3,UNSAT,T/O,I/O (0.2980759143829345),T/O,T/O
inertia,2,3,UNSAT,T/O,I/O (0.4293913841247558),T/O,T/O
oblong,2,3,SAT,0.0113563537597656,0.0144741535186767,0.0023424625396728,0.0043742656707763
touch,2,3,UNSAT,T/O,I/O (0.3566758632659912),T/O,0.1337487697601318
waste,2,3,UNSAT,0.0080420970916748,0.0052366256713867,0.0018153190612792,0.0080227851867675
beast,3,2,SAT,0.1745872497558593,0.0657782554626464,0.0037131309509277,0.4138298034667969
vampire,3,2,SAT,0.037454605102539,0.0384557247161865,0.0032637119293212,0.0098333358764648
bar,3,3,UNSAT,T/O,I/O (1.7667193412780762),T/O,T/O
robot,3,3,SAT,0.045828104019165,0.0574707984924316,0.0032446384429931,0.008962869644165
tank,3,3,SAT,0.1537237167358398,0.0679140090942382,0.0039927959442138,1.367605686187744
titanium,3,3,UNSAT,T/O,I/O (1.2517125606536863),T/O,T/O
western,3,3,UNSAT,T/O,I/O (1.7976415157318115),T/O,T/O
